Product_URL,Product_Name,Product_Price,Product_Rating,Product_Reviews
https://www.amazon.in/Safari-Polycarbonate-Hardside-Trolley-Suitcase/dp/B097JKR13B/ref=sr_1_212?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-212,Safari Ray 53 cms Small Size Cabin Polycarbonate Hardside Trolley Luggage/Suitcase/Trolley Bag (Wine Red),"1,799",4.5 out of 5 stars,14
https://www.amazon.in/AirCase-C32-Multi-Function-Laptop-Backpack/dp/B07P24DS13/ref=sr_1_213?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-213,"AirCase Casual Backpack fits upto 15.6"" Laptop, Easy to clean, Lightweight Canvas Spacious Bag for Office/Travel/College, Men & Women, Black",499,4.0 out of 5 stars,239
https://www.amazon.in/Lavie-Womens-Closure-Satchel-Handbag_Chocolate/dp/B07DJ9Q1NY/ref=sr_1_214?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-214,Lavie Women's Ficus Satchel Bag | Ladies Purse Handbag,"1,599",4.1 out of 5 stars,"4,612"
https://www.amazon.in/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07MMZPB41/ref=sr_1_215?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-215,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Navy Blue, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder","2,560",4.4 out of 5 stars,"2,025"
https://www.amazon.in/AirCase-C25-Messenger-Shoulder-Compartments/dp/B07X6DV3VM/ref=sr_1_216?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-216,"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women, Blue- with Warranty",798,3.8 out of 5 stars,"1,380"
https://www.amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JMR4M6/ref=sr_1_217?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-217,"Safari Seek 32 Ltrs Large Overnighter Travel Laptop Backpack, Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure- Black","2,099",4.4 out of 5 stars,314
https://www.amazon.in/ADISA-Women-Girls-Flower-Crossbody/dp/B0BCZSKZLC/ref=sr_1_218?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-218,ADISA Women Girls Flower Print Sling Bag Round Crossbody Purse,409,4.0 out of 5 stars,347
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzIxMzI3OTU5MjE0NjU2OjE2OTc3MTg5ODk6c3BfbXRmOjIwMTE1NDYwNjg3MDk4OjowOjo&url=%2FAmazon-Basics-Modern-Lightweight-Backpack%2Fdp%2FB09W4ZPP3D%2Fref%3Dsr_1_219_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697718989%26sprefix%3Dba%252Caps%252C283%26sr%3D8-219-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Amazon Basics - Laptop Backpack/Casual Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Lightweight, Sleek and Modern Design","1,359",3.3 out of 5 stars,44
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzIxMzI3OTU5MjE0NjU2OjE2OTc3MTg5ODk6c3BfbXRmOjMwMDA0OTExMTIzMzUzMjo6MDo6&url=%2FBag-Charging-Reflective-College-Blue%2Fdp%2FB0C4L2KX2W%2Fref%3Dsr_1_220_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697718989%26sprefix%3Dba%252Caps%252C283%26sr%3D8-220-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Amazon Basics Laptop Bag with USB Charging Port, Rain Cover and Reflective Strip for College, Office, Travel (Unisex, 35 L, Blue)",799,3.9 out of 5 stars,193
https://www.amazon.in/Gear-Inspired-Moving-training-DUFINDAVMVG05/dp/B08DV7YZL6/ref=sr_1_221?crid=2M096C61O4MLT&keywords=bags&qid=1697718989&sprefix=ba%2Caps%2C283&sr=8-221,Gear Inspired Alive Moving 33L Large Water Resistant Travel Duffle Bag/Gym Bag/Sports Duffle for Men/Women (Blue),399,4.3 out of 5 stars,"1,342"
